time,throughput
9.408,804000.0
9.409,696800.0
9.41,750400.0
9.411,750400.0
9.411,804000.0
9.428,53600.0
9.429,107200.0
9.43,160800.0
9.431,214400.0
9.431,268000.0
9.432,321600.0
9.433,375200.0
9.434,428800.0
9.434,482400.0
9.435,536000.0
9.436,589600.0
9.437,643200.0
9.437,696800.0
9.438,750400.0
9.439,750400.0
9.44,750400.0
9.441,643200.0
9.441,696800.0
9.442,750400.0
9.443,750400.0
9.444,643200.0
9.444,696800.0
9.445,750400.0
9.446,750400.0
9.447,750400.0
9.447,804000.0
9.448,750400.0
9.464,53600.0
9.465,107200.0
9.466,160800.0
9.467,214400.0
9.467,268000.0
9.468,321600.0
9.469,375200.0
9.47,428800.0
9.47,482400.0
9.471,536000.0
9.472,589600.0
9.473,643200.0
9.473,696800.0
9.474,750400.0
9.475,750400.0
9.476,696800.0
9.477,750400.0
9.477,804000.0
9.478,750400.0
9.479,750400.0
9.48,750400.0
9.48,804000.0
9.481,750400.0
9.482,750400.0
9.483,750400.0
9.483,804000.0
9.499,53600.0
9.5,107200.0
9.501,160800.0
9.502,214400.0
9.502,268000.0
9.503,321600.0
9.504,375200.0
9.505,428800.0
9.505,482400.0
9.506,536000.0
9.507,589600.0
9.508,643200.0
9.509,696800.0
9.51,696800.0
9.511,696800.0
9.512,696800.0
9.513,643200.0
9.514,643200.0
9.515,643200.0
9.516,589600.0
9.517,589600.0
9.518,536000.0
9.519,589600.0
9.52,589600.0
9.521,536000.0
9.522,589600.0
9.523,589600.0
9.534,53600.0
9.535,107200.0
9.536,160800.0
9.537,214400.0
9.538,268000.0
9.539,321600.0
9.54,375200.0
9.541,428800.0
9.542,482400.0
9.543,536000.0
9.544,589600.0
9.545,589600.0
9.546,589600.0
9.547,589600.0
9.548,589600.0
9.549,589600.0
9.55,536000.0
9.551,589600.0
9.552,589600.0
9.553,536000.0
9.554,589600.0
9.555,589600.0
9.556,589600.0
9.557,589600.0
9.558,589600.0
9.559,589600.0
9.56,589600.0
9.561,589600.0
9.57,160800.0
9.571,160800.0
9.572,160800.0
9.573,214400.0
9.574,268000.0
9.575,321600.0
9.576,375200.0
9.577,428800.0
9.578,482400.0
9.579,536000.0
9.58,589600.0
9.581,589600.0
9.582,536000.0
9.583,589600.0
9.584,589600.0
9.585,536000.0
9.586,589600.0
9.587,589600.0
9.588,589600.0
9.589,589600.0
9.59,589600.0
9.591,589600.0
9.592,589600.0
9.593,589600.0
9.594,589600.0
9.595,589600.0
9.596,589600.0
9.597,589600.0
9.598,536000.0
9.606,214400.0
9.607,214400.0
9.608,214400.0
9.609,214400.0
9.61,268000.0
9.611,321600.0
9.612,375200.0
9.613,428800.0
9.614,482400.0
9.615,536000.0
9.616,589600.0
9.617,536000.0
9.618,589600.0
9.619,589600.0
9.62,589600.0
9.621,589600.0
9.622,589600.0
9.623,589600.0
9.624,589600.0
9.625,589600.0
9.626,589600.0
9.627,589600.0
9.628,589600.0
9.629,589600.0
9.63,536000.0
9.631,589600.0
9.632,589600.0
9.633,589600.0
9.642,160800.0
9.643,107200.0
9.644,160800.0
9.646,214400.0
9.647,268000.0
9.648,321600.0
9.649,375200.0
9.651,428800.0
9.652,482400.0
9.653,482400.0
9.654,482400.0
9.656,482400.0
9.657,482400.0
9.658,482400.0
9.66,428800.0
9.661,482400.0
9.662,428800.0
9.663,482400.0
9.665,428800.0
9.666,482400.0
9.667,482400.0
9.668,482400.0
9.67,482400.0
9.671,482400.0
9.672,482400.0
