time,bytesRx,mac_address
19.545,536,04-07-07:00:00:02:a0:0f:00
19.548,536,04-07-07:00:00:02:a0:0f:00
19.550,536,04-07-07:00:00:02:a0:0f:00
19.568,536,04-07-07:00:00:02:a0:0f:00
19.571,536,04-07-07:00:00:02:a0:0f:00
19.574,536,04-07-07:00:00:02:a0:0f:00
19.577,536,04-07-07:00:00:02:a0:0f:00
19.579,536,04-07-07:00:00:02:a0:0f:00
19.582,536,04-07-07:00:00:02:a0:0f:00
19.585,536,04-07-07:00:00:02:a0:0f:00
19.588,536,04-07-07:00:00:02:a0:0f:00
19.605,536,04-07-07:00:00:02:a0:0f:00
19.608,536,04-07-07:00:00:02:a0:0f:00
19.611,536,04-07-07:00:00:02:a0:0f:00
19.614,536,04-07-07:00:00:02:a0:0f:00
19.616,536,04-07-07:00:00:02:a0:0f:00
19.619,536,04-07-07:00:00:02:a0:0f:00
19.622,536,04-07-07:00:00:02:a0:0f:00
19.625,536,04-07-07:00:00:02:a0:0f:00
19.627,536,04-07-07:00:00:02:a0:0f:00
19.642,536,04-07-07:00:00:02:a0:0f:00
19.645,536,04-07-07:00:00:02:a0:0f:00
19.648,536,04-07-07:00:00:02:a0:0f:00
19.651,536,04-07-07:00:00:02:a0:0f:00
19.653,536,04-07-07:00:00:02:a0:0f:00
19.656,536,04-07-07:00:00:02:a0:0f:00
19.659,536,04-07-07:00:00:02:a0:0f:00
19.662,536,04-07-07:00:00:02:a0:0f:00
19.664,536,04-07-07:00:00:02:a0:0f:00
19.667,536,04-07-07:00:00:02:a0:0f:00
19.682,536,04-07-07:00:00:02:a0:0f:00
19.685,536,04-07-07:00:00:02:a0:0f:00
19.688,536,04-07-07:00:00:02:a0:0f:00
19.691,536,04-07-07:00:00:02:a0:0f:00
19.693,536,04-07-07:00:00:02:a0:0f:00
19.696,536,04-07-07:00:00:02:a0:0f:00
19.699,536,04-07-07:00:00:02:a0:0f:00
19.702,536,04-07-07:00:00:02:a0:0f:00
19.704,536,04-07-07:00:00:02:a0:0f:00
19.707,536,04-07-07:00:00:02:a0:0f:00
19.710,536,04-07-07:00:00:02:a0:0f:00
19.722,536,04-07-07:00:00:02:a0:0f:00
19.725,536,04-07-07:00:00:02:a0:0f:00
